Prefix	Species name
ENSPST	Pavo cristatus (Indian peafowl)
ENSELU	Esox lucius (Northern pike)
ENSCHA	Clupea harengus (Atlantic herring)
ENSOME	Oryzias melastigma (Indian medaka)
ENSMAM	Mastacembelus armatus (Zig-zag eel)
ENSOMY	Oncorhynchus mykiss (Rainbow trout)
ENSOSI	Oryzias sinensis (Chinese medaka)
ENSCAB	Chelonoidis abingdonii (Abingdon island giant tortoise)
ENSDAR	Danio rerio (Zebrafish)
ENSOJA	Oryzias javanicus (Javanese ricefish)
ENSAHA	Apteryx haastii (Great spotted kiwi)
ENSABR	Anser brachyrhynchus (Pink-footed goose)
ENSGMO	Gadus morhua (Atlantic cod)
ENSPTI	Panthera tigris altaica (Tiger)
ENSCCN	Castor canadensis (American beaver)
ENSCUS	Catharus ustulatus (Swainson's thrush)
ENSMMN	Monodon monoceros (Narwhal)
ENSPMR	Podarcis muralis (Common wall lizard)
ENSLCR	Larimichthys crocea (Large yellow croaker)
MGP_WSBEiJ_	Mus musculus domesticus (Mouse WSB/EiJ)
ENSOAR	Ovis aries (Sheep (texel))
ENSSLU	Sander lucioperca (Pike-perch)
ENSLOC	Lepisosteus oculatus (Spotted gar)
ENSPCA	Procavia capensis (Hyrax)
ENSTBE	Tupaia belangeri (Tree Shrew)
ENSAMX	Astyanax mexicanus (Pachon cavefish)
MGP_LPJ_	Mus musculus (Mouse LP/J)
ENSSSC	Sus scrofa (Pig - Berkshire)
ENSTTR	Tursiops truncatus (Dolphin)
ENSPSM	Prolemur simus (Greater bamboo lemur)
ENSCGR	Cricetulus griseus (Chinese hamster CriGri)
ENSBTA	Bos taurus (Cow)
ENSDOR	Dipodomys ordii (Kangaroo rat)
ENSIPU	Ictalurus punctatus (Channel catfish)
ENSPNA	Pygocentrus nattereri (Red-bellied piranha)
ENSPME	Poecilia mexicana (Shortfin molly)
ENSPLA	Poecilia latipinna (Sailfin molly)
ENSVVU	Vulpes vulpes (Red fox)
ENSLLT	Laticauda laticaudata (Blue-ringed sea krait)
ENSSSC	Sus scrofa (Pig - Largewhite)
ENSEAS	Equus asinus (Donkey)
ENSCAF	Canis lupus familiaris (Dog)
ENSSHA	Sarcophilus harrisii (Tasmanian devil)
ENSRNO	Rattus norvegicus (Rat - WKY/Bbb RGD_1581635)
ENSZCA	Zalophus californianus (California sea lion)
ENSXCO	Xiphophorus couchianus (Monterrey platyfish)
ENSMOC	Microtus ochrogaster (Prairie vole)
ENSAPL	Anas platyrhynchos platyrhynchos (Duck)
ENSECA	Equus caballus (Horse)
ENSJHY	Junco hyemalis (Dark-eyed junco)
ENSTNI	Tetraodon nigroviridis (Tetraodon)
ENSGAF	Gambusia affinis (Western mosquitofish)
ENSPTR	Pan troglodytes (Chimpanzee)
ENSSCU	Struthio camelus australis (African ostrich)
ENSMNE	Macaca nemestrina (Pig-tailed macaque)
ENSPAN	Papio anubis (Olive baboon)
ENSCMU	Corvus moneduloides (New Caledonian crow)
ENSBMS	Balaenoptera musculus (Blue whale)
ENSPEM	Peromyscus maniculatus bairdii (Northern American deer mouse)
ENSVPA	Vicugna pacos (Alpaca)
ENSDCD	Denticeps clupeoides (Denticle herring)
ENSBMU	Bos mutus (Wild yak)
ENSNSU	Notechis scutatus (Mainland tiger snake)
ENSACL	Astatotilapia calliptera (Eastern happy)
MGP_CASTEiJ_	Mus musculus castaneus (Mouse CAST/EiJ)
ENSOSU	Otus sunia (Oriental scops-owl)
ENSOAN	Ornithorhynchus anatinus (Platypus)
ENSARW	Apteryx rowi (Okarito brown kiwi)
ENSCPI	Chrysolophus pictus (Golden pheasant)
ENSRFE	Rhinolophus ferrumequinum (Greater horseshoe bat)
ENSCAF	Canis lupus familiaris (Dog - Great Dane)
ENSLBE	Labrus bergylta (Ballan wrasse)
ENSPMG	Periophthalmus magnuspinnatus (Periophthalmus magnuspinnatus)
ENSBSL	Betta splendens (Siamese fighting fish)
ENSPKI	Paramormyrops kingsleyae (Paramormyrops kingsleyae)
ENSPCI	Phascolarctos cinereus (Koala)
ENSJJA	Jaculus jaculus (Lesser Egyptian jerboa)
ENSMMD	Myripristis murdjan (Pinecone soldierfish)
MGP_BALBcJ_	Mus musculus (Mouse BALB/cJ)
ENSEBU	Eptatretus burgeri (Hagfish)
ENSTMT	Terrapene carolina triunguis (Three-toed box turtle)
ENSHGL	Heterocephalus glaber (Naked mole-rat)
ENSCAN	Colobus angolensis palliatus (Angola colobus)
ENSATE	Anabas testudineus (Climbing perch)
